Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
59356;LOMPRET;50.6631680443,2.99516100327;59840;59;NORD-PAS-DE-CALAIS
53228;SAINT-JEAN-SUR-ERVE;48.0403224442,-0.38824131993;53270;53;PAYS DE LA LOIRE
72002;AILLIERES-BEAUVOIR;48.3996493639,0.321252383862;72600;72;PAYS DE LA LOIRE
48081;LANUEJOLS;44.4904680879,3.58785456631;48000;48;LANGUEDOC-ROUSSILLON
59486;RACHES;50.4201328892,3.13698851837;59194;59;NORD-PAS-DE-CALAIS
34238;SAINT-ANDRE-DE-BUEGES;43.8538870813,3.64957493521;34190;34;LANGUEDOC-ROUSSILLON
60359;LHERAULE;49.4882885044,1.93093330345;60650;60;PICARDIE
17259;NEULLES;45.5096455454,-0.42809234056;17500;17;POITOU-CHARENTES
7092;FREYSSENET;44.6886194228,4.54695114844;7000;7;RHONE-ALPES
89134;CUSSY-LES-FORGES;47.4633590356,4.02245492798;89420;89;BOURGOGNE
21055;BEAUNOTTE;47.6813180742,4.7162410659;21510;21;BOURGOGNE
65003;ADERVIELLE-POUCHERGUES;42.8017280148,0.389922766373;65240;65;MIDI-PYRENEES
83012;BARJOLS;43.5523879362,5.98777049612;83670;83;PROVENCE-ALPES-COTE D'AZUR
68096;FRANKEN;47.5945824627,7.35367569573;68130;68;ALSACE
71589;VITRY-SUR-LOIRE;46.6796114688,3.71763389584;71140;71;BOURGOGNE
38032;BEAUFORT;45.3294079707,5.11631301221;38270;38;RHONE-ALPES
80261;DURY;49.8524314645,2.27669568816;80480;80;PICARDIE
10410;VILLADIN;48.316863996,3.69033893209;10290;10;CHAMPAGNE-ARDENNE
3090;COUZON;46.6443750911,3.11347416578;3160;3;AUVERGNE
59548;SAINT-WAAST;50.3009046885,3.74775611906;59570;59;NORD-PAS-DE-CALAIS
51128;LA CHAPELLE-SOUS-ORBAIS;48.9151526355,3.71933082114;51270;51;CHAMPAGNE-ARDENNE
78389;MERE;48.7955470885,1.81994051826;78490;78;ILE-DE-FRANCE
18258;SURY-EN-VAUX;47.3718751435,2.80397363416;18300;18;CENTRE
88094;CHATEL-SUR-MOSELLE;48.3198523928,6.40067968782;88330;88;LORRAINE
31178;FABAS;43.3119614436,0.89311883238;31230;31;MIDI-PYRENEES
68093;FLAXLANDEN;47.6920814143,7.32559027655;68720;68;ALSACE
18156;MOROGUES;47.2574083445,2.59600177096;18220;18;CENTRE
88262;LAVELINE-DEVANT-BRUYERES;48.1852298177,6.75828843679;88600;88;LORRAINE
